SRIASupplierID,Name,VPManager,Crunchbase,Ticker,CompanyID,CreatedAt,UpdatedAt,State,Industry,EmployeeCount
1,VMWare,"Courtnee Smith",vmware,VMW,1,"2019-08-23 09:19:54","2022-01-10 19:01:30","CA  ","Computer Hardware & Software","10000+ Employees"
2,"Visa U.S.A., Inc.","Jim Martin",NULL,NULL,2,"2019-08-23 09:19:54","2022-01-10 19:01:31","OH  ","IT Services","10000+ Employees"
3,"Verint Systems, Inc.","Jim Gorzalski",verint,VRNT,3,"2019-08-23 09:19:54","2022-01-11 05:04:05",NY,"Enterprise Software & Network Solutions","1001 to 5000 Employees"
4,"VAST.COM INC","Jim Gorzalski",vast,NULL,4,"2019-08-23 09:19:54","2022-01-11 06:46:05",,Internet,"51 to 200 Employees"
5,"Transcentra (Exela)","Jon Buckbee",transcentra,NULL,5,"2019-08-23 09:19:54","2022-01-11 05:04:05",,"Financial Transaction Processing","1001 to 5000 Employees"
6,"Shape Security, Inc.","Courtnee Smith",shape-security,NULL,6,"2019-08-23 09:19:55","2022-01-11 06:46:05","CA  ","IT Services","51 to 200 Employees"
7,"RETAILNEXT INC","Jim Gorzalski",retailnext,NULL,7,"2019-08-23 09:19:55","2022-01-11 05:04:05","CA  ","Enterprise Software & Network Solutions","51 to 200 Employees"
10,"Opex Corporation","Jon Buckbee",opex-corporation,NULL,10,"2019-08-23 09:19:55","2022-01-11 06:46:04","NJ  ","Industrial Manufacturing","1001 to 5000 Employees"
11,"Online Resources Corporation","Jon Buckbee",online-resources-corp,ORCC,11,"2019-08-23 09:19:56","2022-01-11 05:04:05","VA  ","Staffing & Outsourcing","501 to 1000 Employees"
12,"MasterCard Worldwide","Jim Martin",NULL,NULL,12,"2019-08-23 09:19:56","2022-01-10 19:01:36","NY  ","Financial Transaction Processing","10000+ Employees"
13,"Lending Tree Inc (COAF)","Jim Gorzalski",lendingtree,TREE,13,"2019-08-23 09:19:56","2022-01-11 05:04:05","NC  ",Lending,"501 to 1000 Employees"
14,"Kelley Blue Book (FS)","Jim Gorzalski",kelly-blue-book,NULL,14,"2019-08-23 09:19:56","2022-01-11 06:46:04","CA  ","Vehicle Dealers","201 to 500 Employees"
16,JSM,"Jim Martin",jsm-a50e,NULL,16,"2019-08-23 09:19:56","2022-01-11 05:04:04",,"Commercial Printing","201 to 500 Employees"
17,"IWCO Direct","Jim Martin",iwco-direct,NULL,17,"2019-08-23 09:19:57","2022-01-11 06:46:04","MO  ","Advertising & Marketing","1001 to 5000 Employees"
18,"Hotels.com LP","Jim Martin",hotels-com,NULL,18,"2019-08-23 09:19:57","2022-01-11 05:04:04",TX,Internet,Unknown
19,"HackerOne Inc.","Courtnee Smith",hackerone,NULL,19,"2019-08-23 09:19:57","2022-01-11 06:46:04",,"Enterprise Software & Network Solutions","51 to 200 Employees"
20,"Google, LLC","Courtnee Smith",google,GOOG,20,"2019-08-23 09:19:57","2022-01-10 22:49:46",,Internet,"10000+ Employees"
21,"FUSION OF IDEAS","Jim Gorzalski",NULL,NULL,21,"2019-08-23 09:19:57","2022-01-10 19:01:41",,Consulting,"1 to 50 Employees"
22,"FREEDOM GRAPHIC SYSTEMS INC","Jim Martin",freedom-graphic-systems-inc,NULL,22,"2019-08-23 09:19:58","2022-01-10 19:01:41","WI  ","Advertising & Marketing","201 to 500 Employees"
23,"Chase PaymenTech","Jon Buckbee",chase-paymentech,NULL,23,"2019-08-23 09:19:58","2022-01-11 05:04:04",,"Banks & Credit Unions","10000+ Employees"
24,"Bank of NY Mellon Cleartran","Jon Buckbee",bnymellon,BK,24,"2019-08-23 09:19:58","2022-01-11 06:46:03",,"Investment Banking & Asset Management","10000+ Employees"
25,"1E, Inc.","Courtnee Smith",NULL,NULL,25,"2019-08-23 09:19:58","2022-01-10 19:01:43","NY  ","Computer Hardware & Software","201 to 500 Employees"
26,WORKDAY,"Courtnee Smith",workday,WDAY,26,"2019-08-23 09:19:58","2022-01-11 06:46:03","CA  ","Enterprise Software & Network Solutions","10000+ Employees"
27,"Amazon Web Services (AWS) - UK","Courtnee Smith",NULL,NULL,27,"2019-08-23 09:19:59","2022-01-10 19:01:44",,Internet,"10000+ Employees"
28,"TSYS Total System Services (ESM-IT)","Courtnee Smith",total-system-services,TSS,28,"2019-09-10 10:06:11","2022-01-11 06:46:03","GA  ","Financial Transaction Processing","10000+ Employees"
29,"Snowflake Computing, Inc.","Courtnee Smith",snowflake-computing,SNOW,29,"2019-09-10 10:06:11","2022-01-11 05:04:04","CA  ","Enterprise Software & Network Solutions","1001 to 5000 Employees"
30,IBM,"Courtnee Smith",ibm,IBM,30,"2019-09-10 10:06:11","2022-01-10 19:01:46","NY  ","IT Services","10000+ Employees"
31,"Fiserv, Inc","Courtnee Smith",fiserv,FISV,31,"2019-09-10 10:06:11","2022-01-11 04:51:28",,"Financial Transaction Processing","10000+ Employees"
32,"Fidelity Information Services (FIS)","Courtnee Smith",fis,FIS,32,"2019-09-10 10:06:11","2022-01-11 06:46:03",,,NULL
33,EQUINIX,"Courtnee Smith",equinix,EQIX,33,"2019-09-10 10:06:11","2022-01-11 04:51:28","CA  ","Enterprise Software & Network Solutions","5001 to 10000 Employees"
34,"Conduent (fka Xerox ACS)","Courtnee Smith",conduent,NULL,34,"2019-09-10 10:06:11","2022-01-11 06:46:02","NJ  ","IT Services","10000+ Employees"
35,"Amazon Web Services","Courtnee Smith",amazon-web-services,NULL,35,"2019-09-10 10:06:11","2022-01-11 04:51:27",,Internet,"10000+ Employees"
36,"24 7 AI Inc.","Jim Martin",NULL,NULL,36,"2019-09-10 10:06:11","2022-01-10 19:01:49",,"IT Service","10000+ Employees"
